feature,importance_mean,importance_std
prev_fan_pct,0.21637435165309776,0.006281982845133768
judge_pct,0.10082985391151914,0.0027559281730907027
cummean_fan_pct,0.07929379133513578,0.0025766886957128326
active_count,0.06326476568782678,0.0023426790509536504
prev_judge_pct,0.05862924791909545,0.0020225670471344668
week,0.02691119749144586,0.0009914579259432071
ballroom_partner,0.013498178996416288,0.0005833651068909373
celebrity_age_during_season,0.011370963977564897,0.0008087838211054856
celebrity_industry,0.007745480889507295,0.0003463698052415912
season,0.0076597607565910605,0.00039409898711399504
celebrity_homecountry/region,0.001869984650456391,0.00010851688345824038
