season,tech_fairness_spearman
1,-0.942857142857143
2,-0.9515151515151514
3,-0.9818181818181818
4,-1.0
5,-0.9930069930069931
6,-0.9930069930069931
7,-0.989010989010989
8,-0.9725274725274725
9,-0.9933777523776266
10,-1.0
11,-1.0
12,-0.9727272727272729
13,-0.9790209790209792
14,-0.9720279720279721
15,-0.9945054945054945
16,-0.9860139860139862
17,-1.0
18,-0.9860139860139862
19,-0.9780219780219779
20,-0.9860139860139862
21,-0.9725274725274725
22,-0.9930069930069931
23,-0.9945054945054945
24,-0.9720279720279721
25,-1.0
26,-0.9878787878787878
27,-0.9560439560439561
28,-0.965034965034965
29,-0.9857142857142854
30,-0.9749999999999999
31,-0.9941176470588234
32,-1.0
33,-0.953171660912162
34,-0.9945000517380604
